CUDA_VISIBLE_DEVICES=0
SLURM_JOB_GPUS=0
SLURM_STEP_GPUS=
GPU 0: NVIDIA GeForce RTX 3070 (UUID: GPU-9bc65574-16b3-6b27-5436-35c8e71da2d5)
TF: 2.15.1
Built with CUDA: True
GPUs: [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
[init] loaded weights from AlphaZero---SOS-Game/5000_pretrain.weights.h5
[train] starting self-play training
[train] num_games=5000, puct_iterations=500, buffer_size=50000, batch_size=128, train_steps_per_game=4, warmup_samples=1024
[train] game=10/5000 buffer=250 wins(R/B/D)=(4/6/0) warmup=250/1024
[train] game=20/5000 buffer=500 wins(R/B/D)=(7/11/2) warmup=500/1024
[train] game=30/5000 buffer=750 wins(R/B/D)=(8/17/5) warmup=750/1024
[train] game=40/5000 buffer=1000 wins(R/B/D)=(13/22/5) warmup=1000/1024
[train] game=410/5000 buffer=10250 wins(R/B/D)=(165/141/104) policy_loss=1.8622 value_loss=0.1673
[train] game=420/5000 buffer=10500 wins(R/B/D)=(170/143/107) policy_loss=1.9132 value_loss=0.1743
[train] game=430/5000 buffer=10750 wins(R/B/D)=(176/143/111) policy_loss=1.8542 value_loss=0.1455
[train] game=440/5000 buffer=11000 wins(R/B/D)=(179/146/115) policy_loss=1.9835 value_loss=0.2145
[train] game=450/5000 buffer=11250 wins(R/B/D)=(181/152/117) policy_loss=1.9284 value_loss=0.2010
[train] game=460/5000 buffer=11500 wins(R/B/D)=(184/154/122) policy_loss=1.8428 value_loss=0.1583
[train] game=470/5000 buffer=11750 wins(R/B/D)=(189/158/123) policy_loss=1.9096 value_loss=0.1767
[train] game=480/5000 buffer=12000 wins(R/B/D)=(191/163/126) policy_loss=1.9121 value_loss=0.1377
[train] game=490/5000 buffer=12250 wins(R/B/D)=(196/166/128) policy_loss=1.9962 value_loss=0.1750
[train] game=500/5000 buffer=12500 wins(R/B/D)=(199/166/135) policy_loss=1.8961 value_loss=0.1471
[train] saved checkpoint to checkpoints/puct_game_500.weights.h5
[train] game=510/5000 buffer=12750 wins(R/B/D)=(204/168/138) policy_loss=1.9261 value_loss=0.1924
[train] game=520/5000 buffer=13000 wins(R/B/D)=(208/171/141) policy_loss=1.8488 value_loss=0.1648
[train] game=530/5000 buffer=13250 wins(R/B/D)=(210/174/146) policy_loss=1.9039 value_loss=0.1445
